kind,name,file,detail
"route","PATCH /api/intelligence/{id}","src/app/api/intelligence/[id]/route.ts","verify_competitor_pricing"
"route","POST /api/intelligence/bids/import","src/app/api/intelligence/bids/import/route.ts","import_competitor_pricing"
"route","GET /api/intelligence/bids","src/app/api/intelligence/bids/route.ts","view_pricing,import_competitor_pricing"
"route","POST /api/intelligence/bids","src/app/api/intelligence/bids/route.ts","view_pricing,import_competitor_pricing"
"route","POST /api/intelligence/import","src/app/api/intelligence/import/route.ts","import_competitor_pricing"
"route","GET /api/intelligence","src/app/api/intelligence/route.ts","view_pricing,import_competitor_pricing"
"route","POST /api/intelligence","src/app/api/intelligence/route.ts","view_pricing,import_competitor_pricing"
"route","GET /api/metrics","src/app/api/metrics/route.ts","custom"
"route","GET /api/notifications/preferences","src/app/api/notifications/preferences/route.ts","session"
"route","PATCH /api/notifications/preferences","src/app/api/notifications/preferences/route.ts","session"
"route","GET /api/notifications","src/app/api/notifications/route.ts","session"
"route","POST /api/notifications","src/app/api/notifications/route.ts","session"
"route","GET /api/observability/export","src/app/api/observability/export/route.ts","session"
"route","POST /api/pricing-policies/{id}/activate","src/app/api/pricing-policies/[id]/activate/route.ts","configure_pricing_rules"
"route","GET /api/pricing-policies","src/app/api/pricing-policies/route.ts","view_pricing,configure_pricing_rules"
"route","POST /api/pricing-policies","src/app/api/pricing-policies/route.ts","view_pricing,configure_pricing_rules"
"route","POST /api/pricing/import","src/app/api/pricing/import/route.ts","import_cost_data"
"route","GET /api/pricing/template","src/app/api/pricing/template/route.ts","import_cost_data"
"route","GET /api/proposals/{id}/audit","src/app/api/proposals/[id]/audit/route.ts","view_pricing"
"route","GET /api/proposals/{id}/conversion","src/app/api/proposals/[id]/conversion/route.ts","view_pricing"
"route","GET /api/proposals/{id}/drift","src/app/api/proposals/[id]/drift/route.ts","view_pricing"
"route","GET /api/proposals/{id}/export","src/app/api/proposals/[id]/export/route.ts","export_proposals"
"route","POST /api/proposals/{id}/lines/{lineId}/recommend","src/app/api/proposals/[id]/lines/[lineId]/recommend/route.ts","edit_proposed_pricing"
"route","PATCH /api/proposals/{id}/lines/{lineId}","src/app/api/proposals/[id]/lines/[lineId]/route.ts","edit_proposed_pricing"
"route","GET /api/proposals/{id}/logistics","src/app/api/proposals/[id]/logistics/route.ts","view_pricing,edit_proposed_pricing,edit_proposed_pricing"
"route","PATCH /api/proposals/{id}/logistics","src/app/api/proposals/[id]/logistics/route.ts","view_pricing,edit_proposed_pricing,edit_proposed_pricing"
"route","POST /api/proposals/{id}/logistics","src/app/api/proposals/[id]/logistics/route.ts","view_pricing,edit_proposed_pricing,edit_proposed_pricing"
"route","POST /api/proposals/{id}/outcome","src/app/api/proposals/[id]/outcome/route.ts","record_outcomes"
"route","POST /api/proposals/{id}/push-crm","src/app/api/proposals/[id]/push-crm/route.ts","export_proposals"
"route","POST /api/proposals/{id}/refresh-context","src/app/api/proposals/[id]/refresh-context/route.ts","edit_proposed_pricing"
"route","POST /api/proposals/{id}/reopen","src/app/api/proposals/[id]/reopen/route.ts","edit_proposed_pricing"
"route","GET /api/proposals/{id}","src/app/api/proposals/[id]/route.ts","view_pricing,edit_proposed_pricing"
"route","DELETE /api/proposals/{id}","src/app/api/proposals/[id]/route.ts","view_pricing,edit_proposed_pricing"
"route","POST /api/proposals/{id}/scenarios/{sid}/apply","src/app/api/proposals/[id]/scenarios/[sid]/apply/route.ts","edit_proposed_pricing"
"route","GET /api/proposals/{id}/scenarios/{sid}","src/app/api/proposals/[id]/scenarios/[sid]/route.ts","view_pricing,edit_proposed_pricing,edit_proposed_pricing"
"route","PATCH /api/proposals/{id}/scenarios/{sid}","src/app/api/proposals/[id]/scenarios/[sid]/route.ts","view_pricing,edit_proposed_pricing,edit_proposed_pricing"
"route","DELETE /api/proposals/{id}/scenarios/{sid}","src/app/api/proposals/[id]/scenarios/[sid]/route.ts","view_pricing,edit_proposed_pricing,edit_proposed_pricing"
"route","GET /api/proposals/{id}/scenarios","src/app/api/proposals/[id]/scenarios/route.ts","view_pricing,edit_proposed_pricing"
"route","POST /api/proposals/{id}/scenarios","src/app/api/proposals/[id]/scenarios/route.ts","view_pricing,edit_proposed_pricing"
"route","POST /api/proposals/{id}/submit","src/app/api/proposals/[id]/submit/route.ts","edit_proposed_pricing"
"route","POST /api/proposals/{id}/version","src/app/api/proposals/[id]/version/route.ts","edit_proposed_pricing"
"route","GET /api/proposals","src/app/api/proposals/route.ts","view_pricing,edit_proposed_pricing"
"route","POST /api/proposals","src/app/api/proposals/route.ts","view_pricing,edit_proposed_pricing"
